"variable","t","value","Scen_r","Scenario","name"
"demand_unmet",2033,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2034,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2035,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2036,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2037,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2038,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2039,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2040,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2041,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2042,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2043,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2044,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2045,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2046,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2047,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2048,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2049,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2050,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2051,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2052,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2053,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2054,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2055,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2056,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2057,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2058,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2059,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2060,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2061,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2062,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2063,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2064,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2065,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2066,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2067,0,"Hyperbolic r0.07","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
