"d","Country","Deposit_Name","Resource_Type","Latitude","Longitude","Status","Status_Delay","Grade_percLi_Reserve","grade_resource","grade_resource_inferred","open_mine","reserve","resource_demostrated","resource_inferred","all_resource","cost1","cost2","cost3","max_prod_rate","max_ramp_up","cost_expansion","cost_opening","cost_source","prod_rate2022","prod_rate2023","prod_rate2025","prod_rate2030","delay_years","Resource_Type_orig","edb","wgi","Corporate_Tax_Rate","cost1_noTax","cost2_noTax","cost3_noTax","label_name"
123,"Australia","Buldania","Hard Rock",-32.07,122.07,"No info","No Info",NA,0.464524765729585,0.464524765729585,FALSE,0,41.8072289156626,0,41.8072289156626,62582.2728457971,71647.6042961345,72409.355566304,2.09036144578313,0.522590361445783,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",18.8,1.57,0.3,36173.2469225673,49123.7204230492,50211.9365232915,""
124,"Canada","Georgia Lake","Hard Rock",49.46,-88.05,"Evaluation","Evaluation",NA,0.46819936462267,0.538848728246319,FALSE,0,31.1622793860628,0,31.1622793860628,48272.9919318841,52395.8322936855,58588.5282789844,1.55811396930314,0.389528492325785,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",20.4,1.73,0.265,27294.0026284138,32903.3092431096,41328.7459578019,""
125,"Finland","Ostrobothnia (All Projects)","Hard Rock",63.39162,23.50256,"Construction","Construction",0.4,0.5,0.4,TRUE,36.3720628045479,18.7120736329182,0,55.0841364374662,47423.4598970882,54238.5817201287,57332.2310373697,2.75420682187331,0.688551705468327,19102.9684159287,0,"Report",0,0,1.23990231072703,2.47980462145407,5,"Hard Rock",19.8,1.61,0.2,31865.8748713602,40384.7771501608,44251.8387967121,"Ostrobothnia"
126,"Australia","Dome North","Hard Rock",-31.77,121.61,"No info","No Info",NA,0.603882195448461,0.515622489959839,FALSE,0,32.5167336010709,0,32.5167336010709,61144.4008706668,64985.974773998,67375.1148282147,1.62583668005355,0.406459170013387,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",18.8,1.57,0.3,34119.1441009525,39607.1068199971,43020.1640403067,""
127,"United States","Big Sandy","Volcano-Sedimentary",34.6809492,-113.557467,"No info","No Info",NA,0.194,0.178,FALSE,0,28.4,0,28.4,53667.2666399412,58877.7116491045,65944.4522662618,0.852,0.213,82730.3782542635,2.5e+08,"Quantile",0,0,0,0,10,"Volcano-Sedimentary",16,2.54,0.25,32521.0221865883,39468.282198806,48890.6030216824,""
128,"Chile","Salar de Cotacotani","Brine",-18.21,-69.34,"No info","No Info",NA,NA,0.0073,FALSE,0,0,0,0,52983.3472753972,54042.6068480882,57103.2963408569,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,24188.2265775342,25817.8566893665,30526.6097551645,""
129,"United Kingdom","Trevalour","Hard Rock",50.38,-4.87,"No info","No Info",NA,0,0.1114859437751,FALSE,0,57.6382329317269,0,57.6382329317269,54551.8887359341,59322.0184016123,65072.2919992258,2.88191164658635,0.720477911646586,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",16.5,2,0.25,34238.7008313896,40598.8737189605,48265.9051824451,""
130,"China","Lijiagou","Hard Rock",31.14,105.11,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,60361.1021556424,64208.8393759077,70869.1277840359,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",22.1,2.94,0.25,37897.4695408565,43027.7858345436,51908.1703787145,""
131,"Canada","Thompson Brothers","Hard Rock",54.85,-99.72,"No info","No Info",NA,0.464524765729585,0.455234270414993,FALSE,0,42.3600133868809,0,42.3600133868809,54066.1711427789,58133.8207150293,58397.8835631269,2.11800066934404,0.529500167336011,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,35175.8791058216,40710.0962109242,41069.3653920094,""
132,"Russia","Orlovka","Hard Rock",51.057,114.834,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,58327.3302538501,62868.5772463054,68832.8700181363,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",21.8,3.42,0.25,33766.3070051334,39821.3029950739,47773.6933575151,""
133,"Portugal","Sepeda/Romano","Hard Rock",41.730333,-7.726452,"No info","No Info",NA,NA,0.464524765729585,FALSE,0,0,0,0,53571.6147343085,58293.079304482,64638.3174255558,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",23.5,1.64,0.21,35469.892068745,41446.4294993443,49478.3764880453,""
134,"Canada","Seymour","Hard Rock",50.41,-88.45,"Evaluation","Evaluation",NA,0.557429718875502,0.325167336010709,FALSE,0,32.8353975903614,0,32.8353975903614,52935.4694374934,60202.6801309409,66804.2513333817,1.64176987951807,0.410442469879518,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,8,"Hard Rock",20.4,1.73,0.265,33637.5094387665,43524.8709264502,52506.6004535806,""
135,"China","Shuinanduan","Hard Rock",28.36,114.59,"Producing","Open",NA,0.17540407866468,0.171874163319946,TRUE,0,31.7600227576975,0,31.7600227576975,57049.092143282,63295.7979432138,63398.1759450528,1.58800113788487,0.397000284471218,19102.9684159287,0,"Quantile",0,0,0,0,3,"Hard Rock",22.1,2.94,0.25,33481.4561910427,41810.3972576184,41946.9012600703,""
136,"Argentina","Salar del Rincon (Argosy)","Brine",-24.12,-66.97,"Producing","Open",NA,NA,NA,TRUE,0,0,0,0,57209.17538125,58697.2726624588,61210.0801322458,1.87863986473793,0.469659966184482,56955.8377136237,0,"Report",0.336715328467153,0.490510948905109,1.31504790531655,1.87863986473793,3,"Brine",41,2.51,0.35,25775.962125,28065.3425576289,31931.200203455,""
137,"Canada","Fox Creek","Brine",54.436109,-116.872234,"No info","No Info",NA,NA,0.0072,FALSE,0,0,0,0,45222.5955194128,46782.825605352,49502.8110909355,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Other (Oilfield)",20.4,1.73,0.265,23143.8034277726,25266.5654494585,28967.2259740619,""
138,"United States","Fort Cady","Volcano-Sedimentary",34.78,-116.43,"Construction","Construction",0.0367,0.0366883256528418,0.0322,TRUE,15.05067,5.10429,0,20.15496,51961.8397956644,57202.3421258134,64328.8891758269,0.937253428517753,0.234313357129438,82730.3782542635,0,"Quantile",0,0,0,0.937253428517753,5,"Volcano-Sedimentary",16,2.54,0.25,30956.8530608859,37944.1895010845,47446.2522344359,""
139,"United States","Clayton Valley (Schlumberger)","Brine",37.7,-117.53,"Evaluation","Evaluation",NA,NA,0.0123,FALSE,0,0,0,0,45593.3791234938,47875.7493714105,49821.2355232625,0,0,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Brine",16,2.54,0.25,22522.3508313251,25565.5111618807,28159.4926976834,""
140,"Brazil","Grota do Cirilo (Murial)","Hard Rock",-16.74,-41.9,"No info","No Info",NA,0.529718516237474,0.49239625167336,FALSE,0,29.4020032485111,0,29.4020032485111,61237.7907262482,65763.4615067385,66716.0229926034,1.47010016242556,0.367525040606389,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",40.9,2.83,0.34,34312.1829185578,41169.2598586947,42612.5348372779,""
141,"Canada","Wekuso Lake","Hard Rock",54.87,-99.65,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,52698.4842893074,58193.0984092017,62994.3220814135,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,33315.0806657244,40790.7461349683,47323.0232400184,""
142,"Canada","Gods Lake","Hard Rock",54.86,-94.19,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,55453.5290586971,60080.4350159836,65756.0235825803,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,37063.4408961865,43358.5510421546,51080.4402484085,""
