"d","Country","Deposit_Name","Resource_Type","Latitude","Longitude","Status","Status_Delay","Grade_percLi_Reserve","grade_resource","grade_resource_inferred","open_mine","reserve","resource_demostrated","resource_inferred","all_resource","cost1","cost2","cost3","max_prod_rate","max_ramp_up","cost_expansion","cost_opening","cost_source","prod_rate2022","prod_rate2023","prod_rate2025","prod_rate2030","delay_years","Resource_Type_orig","edb","wgi","Corporate_Tax_Rate","cost1_noTax","cost2_noTax","cost3_noTax","label_name"
13,"Australia","Greenbushes","Hard Rock",-33.85,116.06,"Producing","Open",0.92904953145917,0.838763375650252,0.464524765729585,TRUE,1668.57295850067,348.494296495583,0,2017.06725499625,52424.997112759,54868.9920251616,64999.4184507417,100.853362749813,25.2133406874532,19102.9684159287,0,"Report",27.955429924055,32.1842968335841,47.6109336840128,70.8031185421755,3,"Hard Rock",18.8,1.57,0.3,21662.8530182272,25154.2743216594,39626.3120724881,"Greenbushes"
14,"Argentina","Salar del Hombre Muerto (Livent)","Brine",-25.49,-67.1,"Producing","Open",0.0523,0.0726227409638554,0.0892,TRUE,731,597,0,1328,55415.0253909844,57212.857872347,59144.6003470493,39.84,9.96,56955.8377136237,0,"Report",3.12664233576642,4.55474452554745,12.2111591207965,18.7863986473793,3,"Brine",41,2.51,0.35,23015.7313707452,25781.6274959185,28753.5389954605,"Salar del Hombre Muerto (Livent)"
15,"Australia","Pilgangoora","Hard Rock",-21.04,118.91,"Producing","Open",0.552784471218206,NA,0.497041499330656,TRUE,1184.0643373494,0,0,1184.0643373494,70157.2157643506,78441.9302916448,80020.934105098,59.2032168674699,14.8008042168675,19102.9684159287,0,"Report",11.1297540907352,12.8133715100834,18.9551005072328,26.4814953973323,3,"Hard Rock",18.8,1.57,0.3,46994.5939490722,58829.9004166354,61085.62015014,"Pilgangoora"
16,"China","Qaidam Basin (All Projects)","Brine",36.9,95.26,"Producing","Open",NA,NA,NA,TRUE,0,0,0,0,49763.3968567777,52358.5383273944,54138.372794036,24.5338891952352,6.1334722988088,56955.8377136237,0,"Quantile",16.8019968427974,24.5338891952352,24.5338891952352,24.5338891952352,3,"Brine",22.1,2.94,0.25,23767.195809037,27227.3844365258,29600.4970587146,"Qaidam Basin"
17,"Argentina","Kachi","Brine",-26.47,-67.54,"Evaluation","Evaluation",0.0248333440102498,NA,NA,FALSE,117.4,1254.06724417975,0,1371.46724417975,59702.5623275069,61940.7885417043,63451.2391166441,41.1440173253925,10.2860043313481,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Brine",41,2.51,0.35,29611.9420423183,33055.3669872374,35379.1371025293,"Kachi"
18,"Argentina","Centenario Ratones","Brine",-24.89,-66.76,"Construction","Construction",0.0438,0.039117679558011,0.0312,TRUE,208.8,777.34131023281,0,986.14131023281,53539.5143518,53589.2454147889,53673.3393220094,29.5842393069843,7.39605982674608,56955.8377136237,0,"Report",0,0,1.80349427014841,4.50873567537103,5,"Brine",41,2.51,0.35,20130.329772,20206.8390996752,20336.2143415529,"Centenario Ratones"
19,"United States","TLC","Volcano-Sedimentary",38.151644,-117.278978,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,54038.827611499,60228.0975669429,66329.3916268811,0,0,82730.3782542635,2.5e+08,"Quantile",0,0,0,0,10,"Volcano-Sedimentary",16,2.54,0.25,33782.948815332,42035.3087559239,50170.3675025081,"TLC"
20,"Argentina","Salar del Rincon (Rio Tinto)","Brine",-24.09,-67.09,"Producing","Open",0.0392604376108811,NA,NA,TRUE,225.446670276123,432.106118029237,0,657.55278830536,49902.0231830727,52372.3286088365,53554.0831810755,19.7265836491608,4.9316459122902,56955.8377136237,0,"Report",0,0,0,0,3,"Brine",41,2.51,0.35,14534.1895124195,18334.65939821,20152.7433555008,"Salar del Rincon (Rio Tinto)"
21,"Argentina","Mariana","Brine",-24.81,-68.3,"Construction","Construction",NA,NA,NA,TRUE,0,0,0,0,55703.4140582645,58624.8572073048,59790.498844046,3.19368777005448,0.79842194251362,56955.8377136237,0,"Quantile",0,0,1.59684388502724,3.19368777005448,5,"Brine",41,2.51,0.35,23459.4062434838,27953.9341650842,29747.22899084,"Mariana"
22,"Chile","Salar de Atacama (Albemarle)","Brine",-23.64,-68.32,"Producing","Open",0.2071,0.199180353200883,0.1593,TRUE,647,712.912080536913,0,1359.91208053691,48567.1107635695,48651.2255649155,49074.7959680145,40.7973624161074,10.1993406040268,56955.8377136237,0,"Report",10.8571428571429,12.5714285714286,15.7805748637986,15.7805748637986,3,"Brine",27.4,2.38,0.27,17394.0165593376,17523.4239460239,18175.0707200224,""
