"d","Country","Deposit_Name","Resource_Type","Latitude","Longitude","Status","Status_Delay","Grade_percLi_Reserve","grade_resource","grade_resource_inferred","open_mine","reserve","resource_demostrated","resource_inferred","all_resource","cost1","cost2","cost3","max_prod_rate","max_ramp_up","cost_expansion","cost_opening","cost_source","prod_rate2022","prod_rate2023","prod_rate2025","prod_rate2030","delay_years","Resource_Type_orig","edb","wgi","Corporate_Tax_Rate","cost1_noTax","cost2_noTax","cost3_noTax","label_name","wcr"
140,"Brazil","Grota do Cirilo (Murial)","Hard Rock",-16.74,-41.9,"No info","No Info",NA,0.529718516237474,0.49239625167336,FALSE,0,29.4020032485111,3.2877639415268,32.6897671900379,61237.7907262482,65763.4615067385,66716.0229926034,1.6344883595019,0.408622089875474,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",40.9,2.83,0.34,34312.1829185578,41169.2598586947,42612.5348372779,"",56.2
141,"Canada","Wekuso Lake","Hard Rock",54.87,-99.65,"No info","No Info",NA,NA,NA,FALSE,0,0,28.020272,28.020272,52698.4842893074,58193.0984092017,62994.3220814135,1.4010136,0.3502534,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,33315.0806657244,40790.7461349683,47323.0232400184,"",22.3
142,"Canada","Gods Lake","Hard Rock",54.86,-94.19,"No info","No Info",NA,NA,NA,FALSE,0,0,25.0181,25.0181,55453.5290586971,60080.4350159836,65756.0235825803,1.250905,0.31272625,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,37063.4408961865,43358.5510421546,51080.4402484085,"",22.3
143,"Canada","Snow Lake","Hard Rock",54.88,-100.03,"No info","No Info",NA,NA,NA,FALSE,0,0,25.0181,25.0181,52867.4490147664,60868.7495882355,63178.8823998022,1.250905,0.31272625,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,33544.9646459407,44431.0878751503,47574.1257140167,"",22.3
144,"Portugal","Alvarroes","Hard Rock",40.48,-7.34,"Producing","Open",NA,NA,NA,TRUE,0,0,23.7228152610442,23.7228152610442,52478.0823262518,58002.1220575409,63563.048834683,1.18614076305221,0.296535190763052,19102.9684159287,0,"Quantile",0.38,0.38,0.38,0.38,3,"Hard Rock",23.5,1.64,0.21,34085.6738306985,41078.1291867607,48117.2770059279,"",34.9
145,"Brazil","Cachoeira","Hard Rock",-16.78,-41.91,"Producing","Open",NA,NA,NA,TRUE,0,0,23.016652,23.016652,61666.157585087,66853.3390145962,70924.4236503375,1.1508326,0.28770815,19102.9684159287,0,"Quantile",0.124295237463518,0.231576678163969,1.07082472290062,1.07082472290062,3,"Hard Rock",40.9,2.83,0.34,34961.2236137682,42820.5894160549,48988.8994702083,"",56.2
146,"Canada","McCombe","Hard Rock",50.93,-91.71,"No info","No Info",NA,NA,0.469170013386881,FALSE,0,0,21.1126506024096,21.1126506024096,53258.1944513973,59483.7107486988,63560.50501541,1.05563253012048,0.26390813253012,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,34076.5910903365,42546.6812907466,48093.3401570204,"",22.3
147,"Canada","Thor/Echo","Hard Rock",62.45,-112.21,"No info","No Info",NA,NA,NA,FALSE,0,0,20.01448,20.01448,53210.4444711582,58048.1422037181,63556.9242140288,1.000724,0.250181,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,34011.6251308275,40593.5268077798,48088.4683184065,"",22.3
148,"Australia","Finniss","Hard Rock",-12.68,130.77,"Producing","Open",0.603882195448461,0.696787148594378,0.62710843373494,TRUE,45.4769745649264,0,0,45.4769745649264,60431.5419396522,64106.8791755426,65993.04237624,4.34397895923351,1.08599473980838,19102.9684159287,0,"Regression",2.55062839540993,2.93646642577315,4.34397895923351,3.78170204771745,3,"Hard Rock",18.8,1.57,0.3,33100.7741995032,38351.2559650608,41045.7748232,"",18.1
149,"Canada","Tanco/Bernic Lake","Hard Rock",50.43,-95.44,"Producing","Open",NA,NA,NA,TRUE,0,0,19.013756,19.013756,55173.6675071476,63506.9724603568,65473.7489267904,6.96881457824535,1.74220364456134,19102.9684159287,0,"Quantile",0.183226976382712,1.19802253788697,3.06631598722525,6.96881457824535,3,"Hard Rock",20.4,1.73,0.265,36682.6768804729,48020.5067487847,50696.393097674,"",22.3
150,"China","Ningdu","Hard Rock",24.43,115.87,"No info","No Info",NA,NA,NA,FALSE,0,0,18.7872225230103,18.7872225230103,58109.1378787651,62479.1937155735,68619.3085241179,0.939361126150514,0.234840281537629,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",22.1,2.94,0.25,34894.8505050201,40721.5916207647,48908.4113654906,"",19
151,"Canada","Raleigh Lake","Hard Rock",49.41,-91.94,"No info","No Info",NA,0.30746039256675,0.269424364123159,FALSE,0,6.824,10.5,17.324,54540.8035475821,61908.066392885,62989.1607437279,0.8662,0.21655,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,35821.6374797035,45845.1243440612,47316.0010118747,"",22.3
152,"China","Baishuidong","Hard Rock",28.36,114.58,"Producing","Open",NA,0.155727622890368,0.176519410977242,TRUE,0,10.9023962516734,3.73013386880857,14.6325301204819,60210.81072609,69796.5279382753,70736.1019428346,0.731626506024096,0.182906626506024,19102.9684159287,0,"Quantile",0,0,0,0,3,"Hard Rock",22.1,2.94,0.25,37697.08096812,50478.0372510337,51730.8025904461,"",19
153,"Brazil","Grota do Cirilo (Lavra)","Hard Rock",-16.74,-41.9,"No info","No Info",NA,0.512093663168078,0.404136546184739,FALSE,0,11.1783974011911,1.05208446128858,12.2304818624797,63633.2786011978,69079.4324250593,71834.7794803455,0.611524093123985,0.152881023280996,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",40.9,2.83,0.34,37941.7100018149,46193.4582197868,50368.226485372,"",56.2
154,"Portugal","Barroso","Hard Rock",40.431158,-7.340508,"No info","No Info",NA,NA,NA,FALSE,0,0,10.00724,10.00724,52084.9740743371,56822.2684840301,63152.51232275,0.500362,0.1250905,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",23.5,1.64,0.21,33588.068448528,39584.6436506711,47597.6105351266,"",34.9
155,"Canada","Nama Creek","Hard Rock",49.44,-88.04,"No info","No Info",NA,NA,NA,FALSE,0,0,10.00724,10.00724,54156.0592699611,64120.4088575987,64487.1523123627,0.500362,0.1250905,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,35298.175877498,48855.1140919711,49354.0847787247,"",22.3
156,"Canada","Violet/Herb Lake","Hard Rock",54.86,-99.71,"No info","No Info",NA,NA,NA,FALSE,0,0,10.00724,10.00724,53888.4457748158,57660.8005631831,64233.7390810774,0.500362,0.1250905,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,34934.0758841031,40066.5313784804,49009.3048722142,"",22.3
157,"Canada","Moose 2","Hard Rock",62.18,-112.22,"No info","No Info",NA,NA,NA,FALSE,0,0,10.00724,10.00724,53678.0098388635,60463.1809222756,63976.4885151847,0.500362,0.1250905,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,34647.7684882496,43879.2937718035,48659.3041022921,"",22.3
158,"Portugal","C 57 Portugal (Sociedade Mineira de Pegmatites)","Hard Rock",40.48,-7.3,"Producing","Open",NA,NA,NA,TRUE,0,0,8.0641499330656,8.0641499330656,53843.0230051226,59425.0510245114,64923.1625855224,0.40320749665328,0.10080187416332,19102.9684159287,0,"Quantile",0,0,0,0,3,"Hard Rock",23.5,1.64,0.21,35813.4468419273,42879.3050943182,49838.9399816739,"",34.9
159,"Canada","Sirmac","Hard Rock",50.68,-74.29,"Evaluation","Evaluation",NA,NA,NA,FALSE,0,1.75094160391252,0.238638396087479,1.98958,41855.9355344066,47076.3684436499,52152.8948339454,0.099479,0.02486975,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",20.4,1.73,0.265,18563.3136522539,25665.9434607482,32572.7820870005,"",22.3
160,"Canada","Niemi Lake","Hard Rock",49.3,-87.9,"No info","No Info",NA,NA,NA,FALSE,0,0,1.000724,1.000724,55004.7237745057,60260.6888885265,65303.8104080161,0.0500362,0.01250905,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,36452.8214619125,43603.7944061585,50465.1842285933,"",22.3
