"d","Country","Deposit_Name","Resource_Type","Latitude","Longitude","Status","Status_Delay","Grade_percLi_Reserve","grade_resource","grade_resource_inferred","open_mine","reserve","resource_demostrated","resource_inferred","all_resource","cost1","cost2","cost3","max_prod_rate","max_ramp_up","cost_expansion","cost_opening","cost_source","prod_rate2022","prod_rate2023","prod_rate2025","prod_rate2030","delay_years","Resource_Type_orig","edb","wgi","Corporate_Tax_Rate","cost1_noTax","cost2_noTax","cost3_noTax","label_name","wcr"
41,"Peru","Falchani","Volcano-Sedimentary",-13.998,-70.669,"Evaluation","Evaluation",NA,0.2954,0.2706,FALSE,0,180.357336220899,704.520844612886,884.878180833785,58462.1232960535,64732.0025581781,69385.8878905184,26.5463454250135,6.63658635625338,82730.3782542635,2.5e+08,"Quantile",0,0,0,0,8,"Other (Volcanic Rock)",31.3,2.95,0.295,34282.7417985768,43711.1316664332,50709.4554744638,"",56.6
42,"Chile","Salar de Tambo","Brine",-19.09,-68.9,"No info","No Info",NA,NA,0.0588,FALSE,0,0,877.89778830536,877.89778830536,52307.8229168424,53805.5335205353,56215.7256390558,8.7789778830536,2.1947444707634,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23148.9583336038,25453.1284931313,29161.1163677781,"",40.3
43,"Chile","Salar La Isla","Brine",-25.74,-68.64,"No info","No Info",NA,NA,0.0841,FALSE,0,0,853.615,853.615,52318.2203748255,55304.7459357655,55996.0275618879,8.53615,2.1340375,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23164.9544228085,27759.6091319469,28823.1193259814,"",40.3
44,"Chile","Salar de Pedernales","Brine",-26.2,-69.12,"No info","No Info",NA,NA,0.05,FALSE,0,0,807.42015322144,807.42015322144,52606.7547008559,53667.4428744906,56418.0137669044,8.0742015322144,2.0185503830536,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23608.8533859322,25240.6813453701,29472.3288721607,"",40.3
45,"Argentina","Arizaro","Brine",-24.37,-67.22,"Evaluation","Evaluation",NA,NA,0.0362,FALSE,0,0,774.409312398484,774.409312398484,56996.989650414,58228.1554799659,60621.3802928379,7.74409312398484,1.93602328099621,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Brine",41,2.51,0.35,25449.5225390984,27343.6238153322,31025.5081428275,"",64.1
46,"Canada","Exshaw","Brine",52.382,-113.387,"No info","No Info",NA,NA,0.0075,FALSE,0,0,732.701678397401,732.701678397401,45756.8800626769,48379.1425912816,50111.0444002212,7.32701678397401,1.8317541959935,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Other (Oilfield)",20.4,1.73,0.265,23870.72117371,27438.4252942607,29794.7542860152,"",22.3
47,"Mali","Goulamina","Hard Rock",11.34,-7.96,"Construction","Construction",0.701432396251673,0.688777104965631,0.641044176706827,TRUE,364.651941097724,83.3291195761191,281.322821521605,729.303882195449,50542.8500633067,50900.7883847633,52250.851677104,36.4651941097724,9.11629852744311,19102.9684159287,0,"Report",0,0,18.2136013526207,20.2374600789029,5,"Hard Rock",47.1,4.98,0.2686,25641.0911448,26130.4790603819,27976.3408218539,"Goulamina",80
48,"Canada","Corvette","Hard Rock",53.55,-73.93,"No info","No Info",NA,NA,0.659625167336011,FALSE,0,0,720.013386880857,720.013386880857,53070.3051097064,58723.8631182736,63422.9279552581,36.0006693440428,9.00016733601071,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,33820.9593329339,41512.8749908485,47906.1604833443,"",22.3
49,"Chile","Salar de Cancosa","Brine",-19.91,-68.59,"No info","No Info",NA,NA,0.0322,FALSE,0,0,669.090021656741,669.090021656741,52515.8635844138,53736.5429837287,56131.1023815029,6.69090021656741,1.67272505414185,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23469.0208990982,25346.9892057365,29030.9267407736,"",40.3
50,"Argentina","Pozuelos-Pastos Grandes (Pluspetrol)","Brine",-24.71,-66.82,"Construction","Construction",NA,0.048945875769446,0.0501,TRUE,0,491.425,176.36,667.785,52039.5948532041,54045.5660873887,55699.781942591,6.67785,1.6694625,56955.8377136237,0,"Report",0,0,0,0,5,"Brine",41,2.51,0.35,17822.7613126217,20908.870903675,23453.8183732169,"",64.1
51,"Canada","Beaverhill","Brine",54.363,-116.562,"No info","No Info",NA,NA,NA,FALSE,0,0,594.86396,594.86396,45290.623800717,47381.7565711196,49509.2809425689,5.9486396,1.4871599,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Other (Oilfield)",20.4,1.73,0.265,23236.3589125401,26081.4375117274,28976.0284932911,"",22.3
