"t","Scenario","Demand"
2036,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1132.54966116477
2036,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1082.14057140604
2036,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1222.61512078484
2037,"Ambitious-Baseline-Baseline-Baseline-Baseline",1194.22944779387
2037,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1199.61050168437
2037,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1080.29865928317
2037,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",1165.68568564719
2037,"Ambitious-Baseline-High Capacity-Baseline-Baseline",1679.08525276296
2037,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",894.644335540428
2037,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",832.369815548084
2037,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1183.20923411923
2037,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1192.3498310333
2037,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1132.43002413358
2037,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1300.5650476661
2038,"Ambitious-Baseline-Baseline-Baseline-Baseline",1255.90319655261
2038,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1262.66030537033
2038,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1111.86160473136
2038,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",1220.29450713068
2038,"Ambitious-Baseline-High Capacity-Baseline-Baseline",1765.45854094943
2038,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",940.084587489657
2038,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",861.612051922002
2038,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1244.2274700529
2038,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1254.24016562384
2038,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1184.01102544437
2038,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1382.61135502252
2039,"Ambitious-Baseline-Baseline-Baseline-Baseline",1316.66909593571
2039,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1325.12262067444
2039,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1136.82921710862
2039,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",1272.6305527006
2039,"Ambitious-Baseline-High Capacity-Baseline-Baseline",1850.42722629967
2039,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",984.616226820612
2039,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",887.106907642721
2039,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1304.39152042483
2039,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1315.3530523671
2039,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1234.34379837677
2039,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1465.9612651088
2040,"Ambitious-Baseline-Baseline-Baseline-Baseline",1386.78361962997
2040,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1398.75055080926
2040,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1166.71413272676
2040,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",1332.98558961843
2040,"Ambitious-Baseline-High Capacity-Baseline-Baseline",1945.40726429299
2040,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",1038.24292375729
2040,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",920.068279586242
2040,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1373.91907560885
2040,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1385.89862942955
2040,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1290.84554455322
2040,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1561.58934099704
2041,"Ambitious-Baseline-Baseline-Baseline-Baseline",1420.77860878197
2041,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1433.97397458182
2041,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1154.05807444292
2041,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",1355.99519105216
2041,"Ambitious-Baseline-High Capacity-Baseline-Baseline",1994.41341693247
2041,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",1063.21533649877
2041,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",921.313829556111
2041,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1407.52302852496
2041,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1420.23920431192
2041,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1324.69314478135
2041,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1602.04509418274
2042,"Ambitious-Baseline-Baseline-Baseline-Baseline",1458.6445797251
2042,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1472.53942334932
2042,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1138.70018883694
