"t","Region","Scenario","Demand"
2022,"United Kingdom","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",4082.11104511633
2022,"United Kingdom","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",4082.11104511633
2022,"United States","Ambitious-Baseline-Baseline-Baseline-Baseline",15016.7638464538
2022,"United States","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",15014.8794473983
2022,"United States","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",15018.6482455093
2022,"United States","Ambitious-Baseline-Baseline-Baseline-USA Recycling",15016.7638464538
2022,"United States","Ambitious-Baseline-High Capacity-Baseline-Baseline",15016.7638464538
2022,"United States","Ambitious-Baseline-Low Capacity-Baseline-Baseline",15016.7638464538
2022,"United States","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",15018.6482455093
2022,"United States","Ambitious-Double LFP-Baseline-Baseline-Baseline",15016.7638464538
2022,"United States","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",15016.7638464538
2022,"United States","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",15016.7638464538
2022,"United States","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",15016.7638464538
2023,"ASEAN","Ambitious-Baseline-Baseline-Baseline-Baseline",2287.34225593729
2023,"ASEAN","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",2287.34725180511
2023,"ASEAN","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",2286.56162733646
2023,"ASEAN","Ambitious-Baseline-Baseline-Baseline-USA Recycling",2287.34225593729
2023,"ASEAN","Ambitious-Baseline-High Capacity-Baseline-Baseline",2316.13084603216
2023,"ASEAN","Ambitious-Baseline-Low Capacity-Baseline-Baseline",2272.03277138955
2023,"ASEAN","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",2271.25214278872
2023,"ASEAN","Ambitious-Double LFP-Baseline-Baseline-Baseline",2283.56656448356
2023,"ASEAN","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",2286.36622924079
2023,"ASEAN","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",2287.34225593729
2023,"ASEAN","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",2287.34225593729
2023,"Africa","Ambitious-Baseline-Baseline-Baseline-Baseline",2312.2942652026
2023,"Africa","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",2312.29515900077
2023,"Africa","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",2311.91949571135
2023,"Africa","Ambitious-Baseline-Baseline-Baseline-USA Recycling",2312.2942652026
2023,"Africa","Ambitious-Baseline-High Capacity-Baseline-Baseline",2329.85569766716
2023,"Africa","Ambitious-Baseline-Low Capacity-Baseline-Baseline",2303.80524489703
2023,"Africa","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",2303.43047540579
2023,"Africa","Ambitious-Double LFP-Baseline-Baseline-Baseline",2312.21542207562
2023,"Africa","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",2311.41053132075
2023,"Africa","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",2312.2942652026
2023,"Africa","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",2312.2942652026
2023,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-Baseline",1313.66037108761
2023,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1313.66381058266
2023,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1313.03653959313
2023,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-USA Recycling",1313.66037108761
2023,"Australia/NZ","Ambitious-Baseline-High Capacity-Baseline-Baseline",1331.43912506439
2023,"Australia/NZ","Ambitious-Baseline-Low Capacity-Baseline-Baseline",1293.71132228841
